,predicted as 0,predicted as 1,predicted value,ground truth,is_correct,TP/FP/TN/TN/FN
0,0.47234264,0.52765733,1,0,False,FP
1,0.75491536,0.24508466,0,1,False,FN
2,0.75491536,0.24508466,0,0,True,TN
3,0.067686416,0.93231356,1,1,True,TP
4,0.15608178,0.8439182,1,0,False,FP
5,0.75491536,0.24508466,0,1,False,FN
6,0.75491536,0.24508466,0,1,False,FN
7,0.75491536,0.24508466,0,0,True,TN
8,0.75491536,0.24508466,0,0,True,TN
9,0.06692694,0.9330731,1,0,False,FP
10,0.75491536,0.24508466,0,1,False,FN
11,0.75491536,0.24508466,0,0,True,TN
12,0.75491536,0.24508466,0,1,False,FN
13,0.75491536,0.24508466,0,0,True,TN
14,0.75491536,0.24508466,0,1,False,FN
15,0.75491536,0.24508466,0,0,True,TN
16,0.75491536,0.24508466,0,1,False,FN
17,0.75491536,0.24508466,0,0,True,TN
18,0.05795762,0.94204235,1,1,True,TP
19,3.9273596e-06,0.999996,1,1,True,TP
20,0.75491536,0.24508466,0,0,True,TN
21,0.75491536,0.24508466,0,0,True,TN
22,0.75491536,0.24508466,0,1,False,FN
23,0.007045341,0.99295473,1,1,True,TP
24,0.75491536,0.24508466,0,0,True,TN
25,0.75491536,0.24508466,0,1,False,FN
26,4.135534e-08,0.99999994,1,1,True,TP
27,0.75491536,0.24508466,0,1,False,FN
28,0.00030899048,0.999691,1,1,True,TP
29,0.75491536,0.24508466,0,1,False,FN
30,0.75491536,0.24508466,0,1,False,FN
31,0.75491536,0.24508466,0,1,False,FN
32,0.75491536,0.24508466,0,1,False,FN
33,0.23003569,0.7699643,1,0,False,FP
34,0.75491536,0.24508466,0,0,True,TN
35,0.75491536,0.24508466,0,1,False,FN
36,0.75491536,0.24508466,0,1,False,FN
37,0.0026960443,0.99730396,1,1,True,TP
38,0.75491536,0.24508466,0,1,False,FN
39,0.75491536,0.24508466,0,1,False,FN
40,0.75491536,0.24508466,0,0,True,TN
41,0.75491536,0.24508466,0,1,False,FN
42,0.75491536,0.24508466,0,1,False,FN
43,0.75491536,0.24508466,0,0,True,TN
44,0.75491536,0.24508466,0,0,True,TN
45,2.2602273e-06,0.9999977,1,1,True,TP
46,0.75491536,0.24508466,0,1,False,FN
47,2.9668765e-06,0.99999696,1,0,False,FP
48,0.75491536,0.24508466,0,0,True,TN
49,0.75491536,0.24508466,0,1,False,FN
50,0.75491536,0.24508466,0,1,False,FN
51,0.75491536,0.24508466,0,1,False,FN
52,0.75491536,0.24508466,0,1,False,FN
53,0.00011539009,0.99988455,1,1,True,TP
54,0.75491536,0.24508466,0,0,True,TN
55,0.75491536,0.24508466,0,0,True,TN
56,0.75491536,0.24508466,0,1,False,FN
57,0.75491536,0.24508466,0,1,False,FN
58,0.75491536,0.24508466,0,1,False,FN
59,0.75491536,0.24508466,0,1,False,FN
60,0.12552366,0.8744764,1,1,True,TP
61,0.75491536,0.24508466,0,1,False,FN
62,0.013314457,0.9866855,1,0,False,FP
63,0.074356355,0.92564374,1,0,False,FP
64,0.75491536,0.24508466,0,1,False,FN
65,0.75491536,0.24508466,0,0,True,TN
66,0.75491536,0.24508466,0,1,False,FN
67,0.29557234,0.70442766,1,1,True,TP
68,0.75491536,0.24508466,0,1,False,FN
69,0.75491536,0.24508466,0,0,True,TN
70,1.8684358e-10,0.99999994,1,1,True,TP
71,0.107150465,0.8928495,1,1,True,TP
72,0.75491536,0.24508466,0,1,False,FN
73,0.75491536,0.24508466,0,0,True,TN
74,0.75491536,0.24508466,0,0,True,TN
75,3.3532747e-06,0.9999966,1,1,True,TP
76,0.75491536,0.24508466,0,1,False,FN
77,0.75491536,0.24508466,0,1,False,FN
78,0.75491536,0.24508466,0,0,True,TN
79,0.75491536,0.24508466,0,0,True,TN
80,0.75491536,0.24508466,0,1,False,FN
81,0.9612467,0.038753264,0,0,True,TN
82,0.9999837,1.6258999e-05,0,1,False,FN
83,0.75491536,0.24508466,0,1,False,FN
84,0.9552547,0.044745173,0,1,False,FN
85,0.015341508,0.9846584,1,0,False,FP
86,0.75491536,0.24508466,0,1,False,FN
87,0.75491536,0.24508466,0,1,False,FN
88,0.75491536,0.24508466,0,1,False,FN
89,0.75491536,0.24508466,0,1,False,FN
90,0.75491536,0.24508466,0,1,False,FN
91,0.75491536,0.24508466,0,0,True,TN
92,0.75491536,0.24508466,0,1,False,FN
93,0.75491536,0.24508466,0,1,False,FN
94,0.75491536,0.24508466,0,0,True,TN
95,0.75491536,0.24508466,0,1,False,FN
96,0.75491536,0.24508466,0,0,True,TN
97,0.75491536,0.24508466,0,1,False,FN
98,0.75491536,0.24508466,0,1,False,FN
99,0.75491536,0.24508466,0,0,True,TN
100,0.75491536,0.24508466,0,0,True,TN
101,0.99994856,5.1434858e-05,0,1,False,FN
102,0.75491536,0.24508466,0,1,False,FN
103,0.75491536,0.24508466,0,1,False,FN
104,0.75491536,0.24508466,0,1,False,FN
105,0.75491536,0.24508466,0,1,False,FN
106,0.75491536,0.24508466,0,0,True,TN
107,0.75491536,0.24508466,0,1,False,FN
108,0.0006836939,0.9993163,1,1,True,TP
109,0.75491536,0.24508466,0,1,False,FN
110,0.75491536,0.24508466,0,0,True,TN
111,0.75491536,0.24508466,0,1,False,FN
112,0.75491536,0.24508466,0,0,True,TN
113,0.75491536,0.24508466,0,0,True,TN
114,0.021696476,0.97830343,1,0,False,FP
115,0.75491536,0.24508466,0,1,False,FN
116,0.75491536,0.24508466,0,1,False,FN
117,0.75491536,0.24508466,0,1,False,FN
118,0.75491536,0.24508466,0,1,False,FN
119,0.75491536,0.24508466,0,1,False,FN
